total_lines,non_empty_lines,comment_lines,cyclomatic_complexity,function_count,maintainability_index,loc,lloc,sloc,comments,avg_lines_per_function,avg_args_per_function,functions_with_return,max_function_lines,file_path,file_size,style_issues
526,423,79,35,21,63.35559096599983,525,208,344,84,2.5714285714285716,1.0952380952380953,0,5,_typing.py,14037,8
693,590,86,137,21,31.96329002136009,692,407,433,91,29.714285714285715,1.5238095238095237,21,139,_version.py,23677,11
3,2,0,0,0,100.0,2,2,2,0,0.0,0.0,0,0,_version_meson.py,79,2
368,340,21,0,0,70.35885407906125,367,48,331,27,0.0,0.0,0,0,__init__.py,8658,22
17,15,0,0,0,100.0,16,3,14,0,0.0,0.0,0,0,api\__init__.py,219,0
54,47,1,2,1,92.34435124486971,53,10,42,1,15.0,1.0,1,16,arrays\__init__.py,1227,0
78,56,14,12,3,87.23435817154194,77,34,34,14,12.666666666666666,1.6666666666666667,3,10,compat\compressors.py,1975,0
263,224,21,27,7,60.49983949820804,262,104,197,24,16.142857142857142,1.4285714285714286,4,34,compat\pickle_compat.py,7723,8
40,35,0,0,0,50.76408386761721,39,35,34,0,0.0,0.0,0,0,compat\pyarrow.py,1393,0
35,27,0,0,0,83.82894837025249,34,15,22,0,0.0,0.0,0,0,compat\_constants.py,617,0
169,148,5,15,2,72.62598389036658,168,51,112,6,46.5,2.5,2,11,compat\_optional.py,5089,3
214,175,0,13,10,74.79598925915711,213,50,93,0,12.3,0.3,10,23,compat\__init__.py,4614,1
341,268,12,32,21,62.15568157306511,340,96,123,10,14.857142857142858,2.0,17,88,core\accessor.py,10044,3
1748,1458,154,163,26,25.104144690644226,1747,507,763,163,58.46153846153846,2.9615384615384617,26,106,core\algorithms.py,55180,45
141,135,1,0,0,100.0,140,27,134,2,0.0,0.0,0,0,core\api.py,2911,0
2058,1701,186,360,88,0.0,2057,942,1237,194,20.988636363636363,1.9090909090909092,67,67,core\apply.py,67184,80
531,418,62,94,39,44.82553625802903,530,238,255,62,11.41025641025641,2.1025641025641026,38,165,core\arraylike.py,17655,19
1401,1174,44,123,47,33.07384818916361,1400,356,578,52,21.659574468085108,1.9148936170212767,36,64,core\base.py,41384,22
658,538,27,110,35,45.317857102905215,657,237,311,30,13.82857142857143,1.1428571428571428,28,55,core\common.py,17449,17
942,773,28,16,9,46.03116379623351,941,215,739,34,7.222222222222222,0.8888888888888888,2,18,core\config_init.py,27004,30
822,673,48,117,13,38.08167875934659,821,276,376,54,54.38461538461539,2.5384615384615383,10,20,core\construction.py,26384,19
118,92,0,16,7,68.00433595133457,117,40,37,0,8.428571428571429,1.8571428571428572,4,31,core\flags.py,3763,4
12725,10961,469,1005,258,0.0,12724,2820,5869,519,42.06976744186046,3.5852713178294575,193,184,core\frame.py,448188,390
14026,12084,431,1115,255,0.0,14025,2963,6238,485,48.80392156862745,3.384313725490196,190,351,core\generic.py,476867,381
2822,2318,300,562,82,0.0,2821,1081,1272,302,30.548780487804876,2.3536585365853657,68,305,core\indexing.py,98987,94
1159,970,64,134,35,33.37020713546747,1158,424,639,75,30.057142857142857,3.142857142857143,27,73,core\missing.py,35270,20
1749,1477,132,234,53,14.827601215349858,1748,692,889,144,32.41509433962264,1.8113207547169812,50,98,core\nanops.py,50984,26
2907,2483,144,295,79,3.2784377282714092,2906,886,1365,166,30.873417721518987,2.6962025316455698,73,167,core\resample.py,95014,95
63,36,3,13,12,78.14027199862704,62,30,29,3,2.5833333333333335,2.0,12,11,core\roperator.py,1114,0
155,129,4,26,3,67.9298553811782,154,67,91,5,42.666666666666664,3.6666666666666665,3,57,core\sample.py,4626,6
6653,5721,234,500,188,0.0,6652,1469,2911,259,29.18617021276596,2.9680851063829787,150,108,core\series.py,213774,192
953,794,0,0,0,100.0,952,14,794,0,0.0,0.0,0,0,core\shared_docs.py,30103,18
749,623,34,92,19,42.08863587508601,748,282,385,42,35.0,3.1052631578947367,19,33,core\sorting.py,22976,12
851,675,9,54,5,27.632560586390962,850,116,169,9,8.2,2.0,2,18,errors\__init__.py,27164,36
66,63,0,0,0,100.0,65,18,60,0,0.0,0.0,0,0,io\api.py,1264,0
198,159,20,25,2,64.30369566541847,197,67,81,22,86.5,2.5,2,4,io\clipboards.py,6320,6
1268,1073,120,205,45,23.528142006107814,1267,514,766,137,22.488888888888887,1.6888888888888889,28,29,io\common.py,40615,50
131,105,1,5,2,83.99544817562321,130,36,64,2,45.0,4.0,1,6,io\feather_format.py,4007,5
256,218,4,5,3,76.05841947603169,255,29,94,4,77.66666666666667,8.0,2,14,io\gbq.py,9372,2
1260,1028,44,161,46,28.129251853425057,1259,400,529,50,22.108695652173914,2.217391304347826,35,58,io\html.py,39546,23
229,191,5,16,2,68.96993072739119,228,60,93,8,94.5,3.0,2,7,io\orc.py,7817,11
679,593,17,89,13,47.45803644242867,678,211,406,18,46.38461538461539,4.769230769230769,6,34,io\parquet.py,23641,21
211,179,10,5,2,90.60525584918621,210,33,118,11,84.0,4.0,1,6,io\pickle.py,6582,8
5533,4675,324,1066,240,0.0,5532,2597,3457,367,19.970833333333335,2.8,173,100,io\pytables.py,181685,150
73,56,0,4,1,87.06233786362584,72,25,31,1,51.0,4.0,1,5,io\spss.py,2182,2
2917,2536,100,388,95,0.0,2916,1000,1788,116,27.305263157894736,4.568421052631579,60,71,io\sql.py,101544,71
3769,3298,211,585,132,0.0,3768,1772,2367,271,22.87121212121212,1.9393939393939394,76,160,io\stata.py,136096,82
1178,971,1,186,21,30.692102471052053,1177,298,562,1,46.857142857142854,2.761904761904762,14,105,io\xml.py,38656,47
95,75,2,12,3,57.628569272877556,94,47,73,2,20.666666666666668,1.3333333333333333,3,20,io\_util.py,2676,1
